Источник	Категория, присвоенная БИСОПРОЛОЛУ	Точная формулировка из источника	На какой источник ссылаются авторы	Место в статье	Классификация прочих β-блокаторов в этом источнике	Критерий / метод классификации
Chang C-H, et al. Drug Metab Pharmacokinet 2013;28(1):53–58	ВЫСОКАЯ ЛИПОФИЛЬНОСТЬ	«The β-blockers were also classified by degree of lipophilicity based on the n-octanol/phosphate buffer partition coefficients30) and pharmacokinetic properties,31) where atenolol, betaxolol, carteolol, and nadolol were considered to have low lipophilicity, and propranolol, labetalol, carvedilol, bisoprolol, metoprolol, acebutolol, alprenolol, and pindolol to have high lipophilicity.»	Ссылка 30: Woods PB, Robinson ML. An investigation of the comparative liposolubilities of beta-adrenoceptor blocking agents. J Pharm Pharmacol 1981;33:172–173. Ссылка 31: López-Sendón J, et al. Expert consensus document on beta-adrenergic receptor blockers. Eur Heart J 2004;25:1341–1362	Methods, «Definition and classification of exposure», стр. 2 PDF; дубль — Table 2, сноска d, стр. 4 PDF	НИЗКАЯ: атенолол, бетаксолол, картеолол, надолол (+ соталол в сноске d). ВЫСОКАЯ: пропранолол, лабеталол, карведилол, бисопролол, метопролол, ацебутолол, алпренолол, пиндолол	Коэффициент распределения n-октанол/фосфатный буфер + фармакокинетические свойства; бинарная классификация (низкая/высокая)
Kessing LV, et al. Hypertension 2020;76:1263–1279	НИЗКАЯ ЛИПИДОРАСТВОРИМОСТЬ; прямо назван ГИДРОФИЛЬНЫМ	«atenolol, and bisoprolol being second generation, selective β-blockers with low lipid solubility»; «also hydrophilic β-blockers, such atenolol and bisoprolol, may have central effects due to NO and hydrogen peroxide release independently of their ability to cross the blood-brain barrier»	Ссылка 35 — для классификации поколений и липофильности. Ссылка 53 = Laurens C, et al. Front Neurosci 2019;13:33 — для центральных эффектов гидрофильных ББ через NO/H2O2	Discussion → «Pharmacological Properties of Individual Drugs» → «β-Blockers», стр. 15 PDF (журн. 1277)	Пропранолол — первое поколение, неселективный, ВЫСОКАЯ липидорастворимость, липофильный, «may passively cross the blood-brain barrier». Атенолол — как бисопролол (низкая, гидрофильный). Карведилол — третье поколение, неселективный, УМЕРЕННАЯ липидорастворимость. Остальные 11 из 15 ББ — классификация НЕ ПРИВОДИТСЯ	Качественная, трёхуровневая (высокая/умеренная/низкая) + дихотомия липофильный/гидрофильный; числовых показателей нет
van de Ven LLM, et al. J Psychosom Res 1995;39(8):1007–1013	УМЕРЕННО ЛИПОФИЛЬНЫЙ; прямо утверждается прохождение через ГЭБ	«Bisoprolol is a beta-1-selective blocker, with a moderate lipophilic property, which enables it to pass the blood–brain barrier [17].» И: «Bisoprolol is a moderate lipophylic substance that passes the blood–brain barrier and has central effects like those of propranolol [20].» (опечатка «lipophylic» — авторская)	Ссылка 17 = Wellstein A, Palm D, Belz GG, Butzer R, Polsak R, Pett B. Reduction of exercise tachycardia in man after propranolol, atenolol and bisoprolol in comparison to beta-adrenoceptor occupancy. Eur Heart J 1987;8(suppl M):3–8. Ссылка 20 в списке литературы = Dorow P, et al. J Cardiovasc Pharmacol 1990;16:39–45 — по содержанию НЕ соответствует утверждению о центральных эффектах	Introduction, стр. 2 / 1008; Discussion, стр. 6 / 1012	Пропранолол и метопролол — липофильные, проходят ГЭБ: «The reports in the literature on successful treatment of hyperventilation always refer to beta-blockers that are lipophilic and can pass the blood–brain barrier, like propranolol and metoprolol [16, 17]»	Качественная, без числовых показателей и без явных категорий; утверждение о ГЭБ подано как установленный факт
Lancaster SG, Sorkin EM. Drugs 1988;36:256–285 (файл SYNOPSIS-ONLY)	ПРОМЕЖУТОЧНАЯ / СМЕШАННАЯ — одновременно липофильные и гидрофильные свойства (термина-ярлыка авторы не используют). Отдельно: НИЗКОЕ проникновение в ЦНС относительно метопролола и пропранолола	«Bisoprolol, possessing both lipophilic and hydrophilic properties, has been shown to have a bioavailability ⩾90% after oral administration.» И: «Animal studies indicate that bisoprolol is rapidly and widely distributed, but little placental transfer occurs and the drug only penetrates the blood-brain barrier to a small degree in comparison to metoprolol and propranolol.»	Первичная ссылка НЕ НАЗВАНА ни для одного из двух утверждений. Вид животных не указан	Pharmacokinetic Studies (страниц оригинала в файле нет)	Других β-блокаторов по липофильности авторы в доступном тексте НЕ КЛАССИФИЦИРУЮТ	Качественная; числовых показателей липофильности в файле нет. Утверждение о ГЭБ основано на ДОКЛИНИЧЕСКИХ данных (животные)
Riemer TG, et al. Hypertension 2021;77:1539–1548	КАТЕГОРИЯ НЕ ПРИСВОЕНА — бисопролол в контексте липофильности не упоминается	«For placebo-controlled trials, we investigated whether the outcomes were moderated by lipophilicity of β-blockers (low, moderate, and high),19»	Ссылка 19: Mannhold R. The impact of lipophilicity in drug research: a case report on beta-blockers. Mini Rev Med Chem 2005;5:197–205	Methods, «Subgroup Analyses», стр. 3 PDF (журн. 1541)	Ни один препарат в основном тексте к категории НЕ ОТНЕСЁН — заданы только сами категории (low, moderate, high)	Трёхуровневая по Mannhold 2005. РЕЗУЛЬТАТ субанализа дан только словами: «Results of sensitivity and subgroup analyses were unremarkable (Tables S11 and S12)» — цифр, теста на взаимодействие и p НЕТ; Tables S11/S12 НЕ ПРИЛОЖЕНЫ
Molero Y, et al. PLoS Med 2023;20(1):e1004164	КАТЕГОРИЯ НЕ УСТАНОВЛЕНА ПО ИМЕЮЩЕМУСЯ ФАЙЛУ — в основном тексте бисопролол не отнесён ни к липофильным, ни к гидрофильным	«Furthermore, β-blockers are classed into lipid solubility, hydrophilic and lipophilic (or hydrophobic), and by selectivity…» — общая рамка без списка препаратов	Отнесение препаратов к категориям — S1 Text, page 2 (НЕ ПРИЛОЖЕН). Ссылка [32] Keller S, Frishman WH. Cardiol Rev 2003;11(2):73–93 относится к ГИПОТЕЗЕ о различии ассоциаций, а не к самой классификации	Introduction, стр. 4; отсылка на распределение — стр. 7; Discussion, стр. 20	Явно назван только атенолол — гидрофильный: «One possibility is that hydrophilic β-blockers (such as atenolol) are more favourable for treating psychiatric outcomes». Прочие препараты по категориям в основном тексте не расписаны	Дихотомическая (гидрофильные / липофильные). ВНИМАНИЕ: доли в Table 1 — гидрофильные 27,5% (385 711) и липофильные 79,4% (1 111 605) — в сумме 106,9%, категории не взаимоисключающие (сноска ††). Реконструировать по ним отнесение бисопролола НЕЛЬЗЯ
Boyce TG, et al. J Acad Consult-Liaison Psychiatry 2021;62:404–412	КАТЕГОРИЯ НЕ ПРИСВОЕНА — бисопролол ОТСУТСТВУЕТ в Table 1	Единственное косвенное упоминание — собирательная фраза о четырёх препаратах (пропранолол, атенолол, бисопролол, карведилол): «These BBs include cardioselective and nonselective agents as well as high and low degrees of lipophilicity» — конкретная категория бисопрололу НЕ присвоена	Реф. 3 (Newton CRH, et al. Semin Respir Crit Care Med 2002;23:19–25) и реф. 4 (Kim S, et al. PubChem 2019 update. Nucleic Acids Res 2019;47:D1102–D1109)	Table 1, стр. 2 PDF (журн. 405); текст — стр. 4 PDF	Table 1 присваивает категории 10 препаратам: атенолол Low; бетаксолол Moderate; карведилол High; лабеталол High; метопролол Moderate; надолол Low; окспренолол Moderate; пиндолол Moderate; пропранолол High; тимолол Moderate. Внутреннее противоречие источника: в тексте (стр. 4) пиндолол и тимолол названы «nonselective, lipophilic agents»	ЕДИНСТВЕННЫЙ в корпусе источник с ЧИСЛОВЫМ критерием: «Lipophilicity: low = LogP <1, moderate = LogP 1–3, high = LogP >3»
Rasmussen PV, …, Holt A. Am Heart J 2026;291:111–120	КЛАССИФИКАЦИЯ ЛИПОФИЛЬНОСТИ В ФАЙЛЕ ОТСУТСТВУЕТ	—	—	Проверено сплошным поиском: «lipophil», «hydrophil», «soluble», «solubility», «blood-brain» — 0 совпадений во всём файле	Единственная фармакологическая классификация — по кардиоселективности, вазодилатирующим свойствам и «трём поколениям» (ссылка 6: Do Vale GT, et al. Curr Hypertens Rev 2019;15(1):22–31); конкретные препараты по категориям не расписаны, кроме отнесения пропранолола к «early generation BBs»	—
Stoschitzky K, et al. Cardiology 2006;106:199–206	КЛАССИФИКАЦИЯ ЛИПОФИЛЬНОСТИ В ФАЙЛЕ ОТСУТСТВУЕТ	—	—	Слова lipophilic / lipophilicity / hydrophilic / lipid-soluble / water-soluble / solubility, а также blood-brain barrier / CNS не встречаются в файле НИ РАЗУ	Классификация только по поколениям и селективности (бисопролол — «second generation beta1-selective beta-blocker without additional effects»)	Различия по мелатонину авторы объясняют НЕ липофильностью и НЕ проникновением через ГЭБ, а β1-стимуляцией шишковидной железы, α-блокадой карведилола с рефлекторной симпатической активацией и химической структурой небиволола
Nyen JE, Kristensen AMD, et al. Eur Heart J 2026;47:3270–3280	КЛАССИФИКАЦИЯ ЛИПОФИЛЬНОСТИ В ФАЙЛЕ ОТСУТСТВУЕТ	—	—	Проверено по всему файлу	Единственная фармакологическая характеристика в файле — «non-selective beta-blocker sotalol» (Discussion, стр. 9)	—
