Источник	Дизайн	Компаратор	Определение исхода «депрессия»	Эффект	95% ДИ	n	Направление	Почему результат может отличаться от других (ТОЛЬКО фактические различия дизайна)
Rasmussen/Holt, Am Heart J 2026	Регистровая когорта, active-comparator new-user, G-formula + cause-specific Cox	БКК (амлодипин, лерканидипин, фелодипин, нифедипин, верапамил)	ЕДИНСТВЕННЫЙ критерий — выкупленный рецепт на антидепрессант; диагноз МКБ-10 не используется; ATC-код в основном тексте не напечатан (Suppl. Table S1, НЕ ПРИЛОЖЕНА)	RR 1.48	1.41-1.55	ББ 64 722 vs БКК 181 880	Риск выше на ББ	Исход = только факт выписки антидепрессанта. Исключены пациенты с любым из исходов в анамнезе (окно lookback не указано). Абс. 1-летний риск ББ 4.14 % (3.98 %–4.29 %) vs БКК 2.8 % (2.72 %–2.88 %). Поправки на множественность нет; p не приводятся. Наблюдение в группе БКК цензурировалось при выписке ББ, в группе ББ выписка БКК игнорировалась. Тревога и мигрень из показаний НЕ исключались. Авторы обсуждают возможный ноцебо-эффект
Riemer, Hypertension 2021 — частота депрессии	Мета-анализ двойных слепых параллельных РКИ (random-effects)	Плацебо	Частота сообщённой депрессии как НЯ (кластер симптомов, Table S4); требование — отчёт о частотах	OR 1.02	[CI, 0.83–1.25]	31 исследование; 28 334 пациента на ББ и плацебо; 1600 случаев из 26 832	Различий нет (P=0.88; I²=22%)	Только двойные слепые РКИ: экспозиция рандомизирована, а не назначена по показанию. Prespecified первичный исход. Риск смещения высокий в 79% (225/285) исследований обзора; обо ВСЕХ НЯ сообщили 108/285, методологию оценки НЯ описали 127/285, активную оценку применяли 53/285. Минимальная длительность 14 дней. Поправка на множественность не описана
Riemer, Hypertension 2021 — отмена из-за депрессии	Мета-анализ двойных слепых параллельных РКИ	Плацебо	Число пациентов, прекративших участие из-за депрессии как НЯ	OR 0.97	[CI, 0.51–1.84]	9 исследований; число участников в файле не указано	Различий нет (P=0.91; I²=0%)	Prespecified первичный исход; лес-плот — Figure S4 (супплемент НЕ ПРИЛОЖЕН)
Riemer, Hypertension 2021 — активные компараторы	Мета-анализ двойных слепых параллельных РКИ	Не-ДГП-БКК, α1-блокаторы, блокаторы РАС	Та же операционализация	ТОЛЬКО В СУППЛЕМЕНТЕ (Table S13) — НЕ ПРИЛОЖЕН	ТОЛЬКО В СУППЛЕМЕНТЕ (Table S13) — НЕ ПРИЛОЖЕН	27 исследований суммарно	Авторы: «None of the comparisons indicated significant differences between treatments»	Числовых оценок в основном тексте нет; субгрупповые анализы — Table S14, не приложена
BETAMI-DANBLOCK, Eur Heart J 2026 — HADS-D 1–6 мес	Предустановленное суб-исследование открытого РКИ, ITT, линейные смешанные модели	Без β-блокатора (usual care)	HADS-D, непрерывный балл, межгрупповая разница в изменении от baseline	β 0.30	(0.12, 0.49)	4 733	Балл выше в группе ББ	Единственное в корпусе РКИ с рандомизацией самого β-блокатора у пациентов после ИМ. ОТКРЫТЫЙ дизайн, без плацебо. 95,6% получали МЕТОПРОЛОЛ, медиана 50 мг/сут. p-значения не приведены нигде. Заявленный MCID 1.7 балла — оценка 0.30 много меньше него
BETAMI-DANBLOCK, Eur Heart J 2026 — HADS-D 12 мес (главный исход)	То же	Без β-блокатора	HADS-D, непрерывный балл	β 0.20	(−0.00, 0.39)	4 733	ДИ включает 0	Главный исход суб-исследования. В таблице ДИ записан «(−0.00, 0.39)», в тексте и Discussion — «0.00–0.39»
BETAMI-DANBLOCK, Eur Heart J 2026 — HADS-D 18–24 мес	То же	Без β-блокатора	HADS-D, непрерывный балл	β −0.01	(−0.22, 0.20)	4 733	Нейтрально	Точка объединяет 18 мес (BETAMI) и 24 мес (DANBLOCK)
BETAMI-DANBLOCK, Eur Heart J 2026 — HADS-D ≥8	То же, логистическая регрессия	Без β-блокатора	HADS-D ≥8 (клинически значимые симптомы депрессии)	OR 1–6 мес 1.47; 12 мес 1.40; 18–24 мес 0.78	(0.86, 2.52); (0.84, 2.36); (0.46, 1.32)	4 733	ДИ включают 1 во всех точках	Скорректировано на ФВ ЛЖ и trial site; число случаев по точкам — только в супплементе (Tables S2/S3), НЕ ПРИЛОЖЕН
BETAMI-DANBLOCK, Eur Heart J 2026 — PHQ-2 непрерывный	То же, только когорта BETAMI	Без β-блокатора	PHQ-2, непрерывный балл (0–6)	β 1 мес 0.12; 6 мес 0.05; 12 мес −0.04; 18 мес −0.05	(−0.01, 0.25); (−0.08, 0.18); (−0.17, 0.10); (−0.19, 0.09)	1 831 ответивших исходно (в сноске b к Table 1 — 1 630; расхождение источника)	Нейтрально	PHQ-2 собирался только в когорте BETAMI, не в DANBLOCK
BETAMI-DANBLOCK, Eur Heart J 2026 — PHQ-2 ≥3	То же, логистическая регрессия, только BETAMI	Без β-блокатора	PHQ-2 ≥3	OR 1 мес 2.18; 6 мес 2.09; 12 мес 0.68; 18 мес 0.80	(0.99, 4.82); (0.86, 5.08); (0.27, 1.73); (0.32, 1.99)	когорта BETAMI	ДИ включают 1 во всех точках	Широкие ДИ; число событий только в супплементе
Kessing, Hypertension 2020 — бисопролол	Регистровая когорта Дании; вложенный case-control 1:10 + Cox с time-dependent экспозицией	ВНУТРИПРЕПАРАТНЫЙ: референс «1–2 рецепта» того же препарата (не другой препарат)	Исход 1: диагноз МКБ-10 DF32–DF33.31 при психиатрическом контакте. Исход 2: тот же диагноз ИЛИ антидепрессант ATC N06A	HR тренд-теста: 0.87 / 0.86 / 0.90 / 0.90 (диагноз partially / диагноз fully / диагноз-или-АД partially / диагноз-или-АД fully)	(0.82–0.92) / (0.81–0.91) / (0.87–0.94) / (0.87–0.94), все P<0.001*	4 117 (бисопролол)	Частота депрессии снижается при росте числа рецептов	Компаратор внутрипрепаратный — сравниваются периоды разной интенсивности терапии ОДНИМ препаратом, а не препараты между собой. Категория «0 рецептов» даёт HR 0.53–0.65, что авторы трактуют как конфаундирование по показанию. Данных о дозах, приверженности и показании в регистре нет. Бонферрони-порог P<0.003 (15 препаратов). Авторы дословно: «we did not compare rates of depression across drugs but within different prescription periods within each drug»
Kessing, Hypertension 2020 — β-блокаторы как класс	То же	То же	То же	HR тренд-теста: 0.91 / 0.90 / 0.94 / 0.94	(0.90–0.92) / (0.89–0.91) / (0.93–0.95) / (0.93–0.94), все P<0.001*	777 038	Частота депрессии снижается при росте числа рецептов	Авторы a priori гипотезировали отсутствие эффекта β-блокаторов; результат назван «surprisingly». Диуретики (класс сравнения) тренда не показали: P=0.403 / 0.079 / 0.040 / 0.250
Kessing, Hypertension 2020 — прочие 13 β-блокаторов	То же	То же	То же	Значимы во всех 4 анализах только 4 препарата из 15: пропранолол, атенолол, бисопролол, карведилол. Атенолол 0.88 / 0.88 / 0.92 / 0.93; карведилол 0.92 / 0.92 / 0.94 / 0.94. Небиволол незначим по всем 4 (P=0.406 / 0.575 / 0.929 / 0.855)	(0.84–0.91) / (0.85–0.92) / (0.90–0.95) / (0.90–0.95) — атенолол; (0.87–0.97) / (0.87–0.97) / (0.91–0.97) / (0.90–0.97) — карведилол	n по препаратам — Table 1, стр. 4	НИ ОДИН препарат не показал повышения риска	Метопролол: все 4 тренд-теста P<0.001 (проходят Бонферрони), но звёздочка значимости проставлена лишь у одного, а в тексте метопролол назван препаратом без значимых ассоциаций — прямое расхождение таблицы и текста источника
Molero, PLoS Med 2023 — депрессия (вторичный исход)	Регистровая когорта, within-individual (self-controlled) Cox	Периоды вне лечения у тех же лиц	Госпитализация по поводу депрессивного расстройства, МКБ-10 F32-F34, F38-F39	HR 0.92	0.89–0.96, p<0.001	когорта 1 400 766; 48 963 события; лиц с исходом 2,4% (33 364)	Снижение риска в периоды терапии	Каждый человек — сам себе контроль: устраняются постоянные во времени конфаундеры, но не меняющиеся. Захватываются ТОЛЬКО госпитализации (вторичная помощь) — амбулаторная и лёгкая депрессия не попадает. Исход вторичный, поправки на множественность нет; авторы: «due to multiple testing, we interpret our findings with caution». В lag-анализе с исключением 3 мес до старта терапии композитный исход психиатрических госпитализаций менял направление (1.03, 1.02–1.05), но отдельная переоценка депрессии в этом анализе в файле отсутствует
Chang, Drug Metab Pharmacokinet 2013	Ретроспективная когорта	Пропранолол	НЕТ ДАННЫХ ПО ДЕПРЕССИИ	НЕТ ДАННЫХ ПО ДЕПРЕССИИ	—	—	—	Депрессия фигурирует только как критерий ИСКЛЮЧЕНИЯ на исходном уровне («anxiety, depression and other psychiatric disorders»), а также приём антидепрессантов в базовом периоде как критерий исключения. Исход «депрессия» не оценивался
Stoschitzky, Cardiology 2006	РКИ, перекрёстное, здоровые добровольцы	Плацебо; карведилол; небиволол	НЕТ ДАННЫХ ПО ДЕПРЕССИИ	НЕТ ДАННЫХ ПО ДЕПРЕССИИ	—	—	—	Слова depression / depressive / mood в файле отсутствуют. Ближайшие домены — «general well-being» и «quality of sleep» в самодельном опроснике QOL
Lancaster & Sorkin, Drugs 1988	Обзор (SYNOPSIS-ONLY)	Атенолол, метопролол, нифедипин SR, верапамил, ГХТЗ+амилорид, плацебо	НЕТ ДАННЫХ ПО ДЕПРЕССИИ	НЕТ ДАННЫХ ПО ДЕПРЕССИИ	—	—	—	Слово depression не встречается в файле ни разу (сплошной поиск). В доступном тексте нет ни одного 95% ДИ
Boyce, JACLP 2021 — вторичное цитирование Ko DT, JAMA 2002	Обзор пересказывает «an analysis of 15 RCTs»	Плацебо / отсутствие ББ (в файле не расшифровано)	«depressive symptoms»; шкала НЕ НАЙДЕНО В ФАЙЛЕ	«no significant increase in depressive symptoms among those receiving any BB therapy»; числовое значение НЕ НАЙДЕНО В ФАЙЛЕ	НЕ НАЙДЕНО В ФАЙЛЕ	«greater than 35,000 patients»; 15 РКИ	Увеличения депрессии нет	ВТОРИЧНОЕ ЦИТИРОВАНИЕ, не первичные данные. По формулировке обзора анализ проводился с разбивкой по селективности и жирорастворимости: «statistically significant risk of fatigue reported for nonselective BBs»; «no risks of adverse effects were seen when categorized by different lipid solubility»
Boyce, JACLP 2021 — вторичное цитирование Kessing 2020	Обзор пересказывает «a recent population-based study»	«those only on diuretics for hypertension» — так пересказано в обзоре	«a decreased rate of diagnosis of depression»	«propranolol, atenolol, bisoprolol, and carvedilol were associated with a decreased rate of diagnosis of depression»; HR НЕ ПРИВЕДЕНЫ	НЕ НАЙДЕНО В ФАЙЛЕ	«over 700,000 subjects who had received BB therapy»	В пользу ББ	ВТОРИЧНОЕ ЦИТИРОВАНИЕ. ВНИМАНИЕ: компаратор описан обзором как «только диуретики», тогда как в первоисточнике (Kessing 2020) компаратор внутрипрепаратный — периоды «1–2 рецепта» того же препарата. Обзор добавляет: «no formal analysis was conducted to differentiate the effects based on BB characteristics»
Boyce, JACLP 2021 — прочие вторичные цитирования	Обзор	Различные	Различные	Ranchord AM, Am Heart J 2016 — «did not find a significant difference in depression symptoms»; Ahl R, World J Surg 2017 — «significantly less likely to require antidepressants in the 12 months after their injuries» (суррогат — назначение антидепрессанта, а не диагноз); Liu Y, Hum Psychopharmacol 2015 — пиндолол 7,5 мг/сут как аугментация СИОЗС улучшил баллы vs низкие дозы пиндолола (5 РКИ); Barron AJ, Int J Cardiol 2013 — «depression … no more common among patients taking BBs than those taking placebo»	НЕ НАЙДЕНО В ФАЙЛЕ ни для одной из работ	НЕ НАЙДЕНО В ФАЙЛЕ (кроме 5 РКИ у Liu)	Разнонаправленные	ВТОРИЧНЫЕ ЦИТИРОВАНИЯ без числовых оценок. Первичные источники в корпус не входят
van de Ven, J Psychosom Res 1995	РКИ, перекрёстное, плацебо-контроль	Плацебо	НЕТ ДАННЫХ ПО ДЕПРЕССИИ	НЕТ ДАННЫХ ПО ДЕПРЕССИИ	—	—	—	Исход — гипервентиляционный синдром (Nijmegen questionnaire), не депрессия. Тревога отдельной психометрической шкалой не оценивалась — только пункт 16 «Anxiety» внутри Nijmegen
