Источник	Тип публикации	Популяция (n)	Компаратор	Определение исхода	Главный эффект	Длительность наблюдения	Финансирование
Rasmussen PV, …, Holt A. Am Heart J 2026;291:111–120. DOI 10.1016/j.ahj.2025.08.005	Общенациональная регистровая когорта, active-comparator new-user (Дания, 2012–2023)	ББ 64 722; БКК 181 880; возраст ≥40 лет; медиана 67 [58, 75] vs 64 [55, 72]	Активный компаратор — БКК (амлодипин 84,1%, лерканидипин 11,4%)	Депрессия = выкупленный рецепт на антидепрессант (диагноз НЕ используется); тревога/инсомния = выкупленный рецепт на анксиолитик или седативное при инсомнии (диагноз НЕ используется); ЖКТ = код запора ИЛИ рецепт на слабительное; ЭД = рецепт на иФДЭ-5; головокружение/обморок = только диагностические коды. Коды МКБ-10 и ATC в основном тексте не напечатаны — Suppl. Table S1, НЕ ПРИЛОЖЕНА	Стандартизованный RR ББ vs БКК: депрессия 1.48 (1.41-1.55); тревога/инсомния 1.53 (1.47-1.59); ЖКТ 1.31 (1.25-1.36); головокружение/обморок 1.50 (1.38-1.61); ЭД 0.91 (0.85-0.96). p-значения не приводятся нигде	1 год от индексной даты	«No extramural funding was used to support this work»; конфликт интересов — «None reported»
Riemer TG, et al. Hypertension 2021;77:1539–1548. DOI 10.1161/HYPERTENSIONAHA.120.16590	Систематический обзор и мета-анализ двойных слепых параллельных РКИ (random-effects, RevMan 5.3)	285 исследований, 53 533 пациента на ББ, 24 β-блокатора, 361 выборка; мета-анализ депрессии — 31 РКИ, 28 334 пациента на ББ и плацебо	Плацебо (73 исследования); активные не-ББ компараторы (200): α1-блокаторы, ДГП- и не-ДГП-БКК, блокаторы РАС, тиазидные/тиазидоподобные диуретики; смешанные 12	Частота сообщённого в исследовании психиатрического НЯ (кластеры симптомов, Table S4). Не шкала, не код МКБ, не код ATC. Первичные исходы — частота депрессии и отмена терапии из-за депрессии	Депрессия ББ vs плацебо: OR 1.02 [CI, 0.83–1.25], P=0.88, I²=22%. Отмена из-за депрессии: OR 0.97 [CI, 0.51–1.84], P=0.91, I²=0%	Критерий включения — минимум 14 дней; фактически от 15 дней до mean 25 месяцев	Sources of Funding: «None». R. Kreutz — гонорары Bayer Pharma, Berlin-Chemie Menarini, Daiichi Sankyo, Ferrer, Sanofi, Servier вне представленной работы
Nyen JE, Kristensen AMD, et al. BETAMI-DANBLOCK. Eur Heart J 2026;47:3270–3280. DOI 10.1093/eurheartj/ehag200	Предустановленное суб-исследование открытого РКИ, ITT, линейные смешанные модели	4 733 (ББ 2 367 / без ББ 2 366) из 5 622 рандомизированных; инфаркт миокарда, ФВ ЛЖ ≥40%	Отсутствие терапии β-блокатором (usual care), открыто, без плацебо	HADS-D (0–21) и PHQ-2 (0–6) — симптомы депрессии; HADS-A (0–21) — тревоги; дихотомические: HADS-D ≥8, HADS-A ≥8, PHQ-2 ≥3	HADS-D 12 мес β 0.20 (−0.00, 0.39); HADS-A 12 мес β 0.14 (−0.06, 0.35); OR HADS-D ≥8 12 мес 1.40 (0.84, 2.36); заявленный MCID 1.7 балла. p-значений нет нигде	Точки 1–6 мес, 12 мес, 18–24 мес (PHQ-2: 1, 6, 12, 18 мес); «2-year follow-up period»	Health South-East research programme (Norway) 2017205; Research Council of Norway 302454; Danish Heart Foundation 18-R124-A8323-22091; Novo Nordisk Foundation NNF18OC0034582
Kessing LV, et al. Hypertension 2020;76:1263–1279. DOI 10.1161/HYPERTENSIONAHA.120.15605	Национальная регистровая когорта Дании; вложенный case-control 1:10 + Cox с time-dependent экспозицией	Все 5 400 000 жителей Дании на 01.2005; 3 747 190 экспонированы антигипертензивным препаратом; β-блокаторы 777 038; бисопролол 4 117	Внутрипрепаратный: референс «1–2 рецепта» того же препарата; категория «0» = неиспользование; диуретики как класс сравнения. Активного препарата-компаратора НЕТ	Исход 1: диагноз депрессивного расстройства МКБ-10 DF32–DF33.31 при психиатрическом контакте. Исход 2: тот же диагноз ИЛИ применение антидепрессантов ATC N06A	β-блокаторы как класс, тренд-тест: 0.91 (0.90–0.92) / 0.90 (0.89–0.91) / 0.94 (0.93–0.95) / 0.94 (0.93–0.94), все P<0.001*. Бисопролол, тренд-тест: 0.87 (0.82–0.92) / 0.86 (0.81–0.91) / 0.90 (0.87–0.94) / 0.90 (0.87–0.94), все P<0.001*	01.2005–31.12.2015; окно экспозиции — 10 лет до даты случая	Danish National Research Fund (Independent Research Fund Denmark), грант 6110-00096B; M. Berk — NHMRC Senior Principal Research Fellowship 1156072
Molero Y, et al. PLoS Med 2023;20(1):e1004164. DOI 10.1371/journal.pmed.1004164	Популяционная регистровая когорта, within-individual (self-controlled) стратифицированная Cox-регрессия	1 400 766 (Швеция, ≥15 лет, получатели β-блокаторов); 86,8% ≥50 лет	Периоды вне лечения у тех же лиц (внутрииндивидуальный контроль); негативные контроли — антигистаминные и иАПФ	Психиатрическая госпитализация (МКБ-10 F10-F69, F80-F99, искл. органические, УО, самоповреждения); суицидальное поведение (X60-X84 + смерть от суицида); обвинение в насильственном преступлении (регистр подозреваемых)	Психиатрические госпитализации HR 0.92 (0.91 to 0.93), p<0.001; суицидальное поведение HR 1.08 (1.02 to 1.15), p=0.013 (в абстракте p=0.012); насильственные преступления HR 0.87 (0.81 to 0.93), p<0.001	8 лет (01.01.2006–31.12.2013)	Wellcome Trust 202836/Z/16/Z; Swedish Research Council for Health Working Life and Welfare 2015-0028; American Foundation for Suicide Prevention DIG-1-037-19; Karolinska Institutet Funds 2016fobi50581. Спонсоров-производителей нет
Chang C-H, et al. Drug Metab Pharmacokinet 2013;28(1):53–58. DOI 10.2133/dmpk.DMPK-12-RG-004	Ретроспективная когорта на страховой базе NHI Тайваня (2003–2007)	4 063 (пропранолол 760 / не-пропранолол 3 303); возраст ≥65 лет; впервые выявленная АГ	Пропранолол как референс; дополнительно селективные β1 vs неселективные и низкая vs высокая липофильность	Новое событие инсомнии за 30 дней: новый диагноз расстройства сна (ICD-9-CM 780.50, 780.52, 780.59, 307.40, 307.41, 307.42, 307.47, 307.48, 307.49, 780.51, 780.57) ИЛИ новое назначение седативного/снотворного (флуразепам, нитразепам, флунитразепам, эстазолам, триазолам, темазепам, зопиклон, золпидем, залеплон). ATC-кодов в статье нет	Бисопролол vs пропранолол, 30 дн.: aOR 0.31 [0.19–0.50]***; 90 дн.: aOR 0.50 [0.35–0.72]***. Селективные vs неселективные 30 дн.: 0.48 [0.36–0.64]***. Низкая vs высокая липофильность 30 дн.: 0.72 [0.53–0.96]*	Наблюдение 1 год; окна оценки исхода 30 дней (первичное) и 90 дней (вторичное)	Гранты Multidisciplinary Center of Excellence for Clinical Trial and Research (DOH100-TD-B-111-002); Department of Health, Executive Yuan, Taiwan (DOH98-PA-1037, DOH101-FDA-43100). Раздела о конфликте интересов НЕТ
Stoschitzky K, et al. Cardiology 2006;106:199–206. DOI 10.1159/000093060	РКИ: рандомизированное двойное слепое плацебо-контролируемое перекрёстное, 4 периода по 7 дней; здоровые добровольцы	n = 16 здоровых мужчин; 28 ± 6 лет; 183 ± 6 см; 76 ± 10 кг; Грац, Австрия	Плацебо + прямое сравнение бисопролол vs карведилол vs небиволол	Ночная секреция мелатонина = суммарный aMT6s в ночной моче 22:00–06:00, ИФА Bühlmann 6-SMT; QOL = самостоятельно разработанный опросник, 6 доменов, шкала 0–10; ЧСС и АД в покое и при нагрузке	Бисопролол снизил ночной выброс мелатонина на −44% (1-я ночь) и −36% (7-я ночь) vs плацебо, p<0.05; карведилол и небиволол — n.s. Total QOL: бисопролол 8.4 ± 0.5 vs плацебо 8.6 ± 0.4 — не изменился; карведилол 8.0 ± 0.9 ниже остальных (p<0.05)	7 дней приёма на каждый препарат; мелатонин — 1-я и 7-я ночь; QOL — день 1 и день 7. Отмывочный период в файле НЕ ОПИСАН	«Dr. Gergana Stoschitzky was supported by an unrestricted scientific grant from Menarini SA, Firenze, Italia. All the other authors have no conflict of interest»
Lancaster SG, Sorkin EM. Bisoprolol. Drugs 1988;36:256–285. DOI 10.2165/00003495-198836030-00002	Обзор (ADIS drug evaluation). ВНИМАНИЕ: файл SYNOPSIS-ONLY — основной текст, таблицы и рисунки отсутствуют	НЕ НАЙДЕНО В ФАЙЛЕ (обзор; популяции — здоровые добровольцы, пациенты с мягкой/умеренной АГ, стабильной стенокардией, астмой, почечной/печёночной недостаточностью, НИЗСД; животные без указания вида)	Атенолол 50–100 мг/сут; метопролол 100 мг/сут; нифедипин SR 40–80 мг/сут; верапамил 240–360 мг/сут; ГХТЗ 50 мг + амилорид 5 мг/сут; плацебо; в доклинике — пропранолол, бетаксолол	Операциональные определения исходов отсутствуют. Исходы: АД, нагрузочная тахикардия, потребность миокарда в кислороде, PEFR/VC/FEV1, липиды, частота ангинозных приступов, НЯ	Показателей эффекта с 95% ДИ в файле НЕТ ни одного. Ключевое для темы: «only penetrates the blood-brain barrier to a small degree in comparison to metoprolol and propranolol» (данные на животных, вид не указан). Слова depression/insomnia/sleep/dream не встречаются ни разу	3 мес (липиды); 12 мес (стенокардия); 6–24 мес (длительная переносимость)	НЕ НАЙДЕНО В ФАЙЛЕ (раздела Funding/Disclosures нет; аффилиация авторов — ADIS Press International Limited)
Boyce TG, Ballone NT, Certa KM, Becker MA. J Acad Consult-Liaison Psychiatry 2021;62:404–412	Обзор (в шапке «Review Article»; систематическим не заявлен; PRISMA, протокол, оценка риска смещения отсутствуют)	Собственной популяции нет; единица включения — публикация: заявлено 44 включённых публикации, список литературы содержит 60 позиций	Собственного компаратора нет; в цитируемых работах — плацебо, бензодиазепины, низкие дозы пиндолола, монотерапия диуретиками, контроль без ББ	Собственного исхода нет; исходы цитируемых работ — депрессивные симптомы, диагноз депрессии, назначение антидепрессанта как суррогат, шкалы BPRS/CGI/PSE/NOSIE, эпизоды ажитации/агрессии, симптомы акатизии, профилактика ОСР/ПТСР	Числовых оценок эффекта (OR/RR/HR/β с 95% ДИ и p) в файле НЕТ ни одной. Вывод авторов: «we did not find evidence for BBs as first-line treatment for any psychiatric condition»	Собственного наблюдения нет; даты литературного поиска НЕ НАЙДЕНО В ФАЙЛЕ	«This article received no funding from public or private parties»; «Declarations of Interest: None»
van de Ven LLM, Mouthaan BJ, Hoes MJAJM. J Psychosom Res 1995;39(8):1007–1013	РКИ: двойное слепое рандомизированное плацебо-контролируемое перекрёстное (2 периода, БЕЗ отмывки, с 2-недельной однослепой плацебо-префазой)	Включено 60, в анализе 51 («Full evaluation»); 26 муж./34 жен.; средний возраст 38 лет; 17 общих врачебных практик, Нидерланды; гипервентиляционный синдром	Плацебо (таблетка идентичного вида), внутрипациентно; плюс сравнение с baseline после плацебо-префазы	Число гипервентиляционных приступов в неделю по ежедневному дневнику пациента; тяжесть жалоб — суммарный балл Nijmegen questionnaire (16 пунктов × 0–4, диапазон 0–64); респондер = ≤1 приступа/нед И балл <20	Приступы/нед: 4.04 ± 1.25 (baseline) → 3.51 ± 2.11 (плацебо) → 1.26 ± 1.25 (бисопролол); бисопролол vs плацебо p < 0.0001. Балл Nijmegen на бисопрололе 15 ± 3.4 (с 31 ± 4.1), vs плацебо p < 0.05. Респондеры 48/51 (94%) vs 16/51 (32%)	8 недель на пациента (2 нед плацебо-префаза + 3 нед + 3 нед); 4 визита	Раздела о финансировании и конфликте интересов в статье НЕТ — НЕ НАЙДЕНО В ФАЙЛЕ
