Источник	Категория факта	Факт о бисопрололе (значение / дословная формулировка)	Атрибуция (раздел / таблица / страница)	Тип источника значения	Пометка
Rasmussen/Holt, Am Heart J 2026	Экспозиция	Бисопролол входит в изучаемую экспозицию «BB» наряду с метопрололом, карведилолом, атенололом, пропранололом и «other [<1%]»	Methods, «Study design, population, and exposure», стр. 2 PDF (журн. 112)	осн. текст	
Rasmussen/Holt, Am Heart J 2026	Размер группы	n = 3 952; доля 6,1% от всех получавших ББ (64 722)	Table 1 «Baseline characteristics», строка «Bisoprolol», стр. 5 PDF (журн. 115)	таблица (визуально подтверждено)	
Rasmussen/Holt, Am Heart J 2026	Частота назначения	«carvedilol (6.1%), and bisoprolol (6.1%)» — делит место с карведилолом	Results, стр. 4 PDF (журн. 114)	осн. текст	
Rasmussen/Holt, Am Heart J 2026	Определение «высокой дозы»	Порог «высокой дозы» для бисопролола — ≥10 мг («highest tablet strength available»)	Methods, «Statistical analysis», стр. 3 PDF; повторено в подписи Figure 4, стр. 8 PDF	осн. текст	
Rasmussen/Holt, Am Heart J 2026	Исход: эректильная дисфункция	Среди отдельных ББ бисопролол «conferred the highest risk of erectile dysfunction» — качественно, БЕЗ ЧИСЕЛ	Results, «Supplementary analyses», стр. 4 PDF, со ссылкой на Suppl. Table S3A	осн. текст	
Rasmussen/Holt, Am Heart J 2026	Исходы: депрессия, тревога/инсомния	Числовые оценки риска (RR / абс. риск / 95% ДИ / n событий) для бисопролола по любому из пяти исходов	Suppl. Table S3A	супплемент	ТОЛЬКО В СУППЛЕМЕНТЕ — НЕ ПРИЛОЖЕН. Вопрос «пересекает ли ДИ бисопролола единицу» по имеющемуся файлу НЕ РАЗРЕШИМ
Rasmussen/Holt, Am Heart J 2026	Фармакологическая характеристика	Отнесение бисопролола к поколению ББ, селективности, липофильности	—	—	НЕ НАЙДЕНО В ФАЙЛЕ
Riemer, Hypertension 2021	Представленность в мета-анализе	Бисопролол представлен ОДНИМ исследованием — Frishman WH 1994, «Bisoprolol 2.5–40 mg»	Table «Overview of Studies Contributing Data…», стр. 6 PDF (журн. 1544)	таблица	
Riemer, Hypertension 2021	Характеристики исследования Frishman 1994	Показание HT; длительность 12 wk; год проведения не указан («…»)	Table, стр. 6 PDF	таблица	
Riemer, Hypertension 2021	Характеристики исследования Frishman 1994	Рандомизировано 197 на бисопролол и 63 на плацебо; проанализировано 197 и 63	Table, стр. 6 PDF	таблица	
Riemer, Hypertension 2021	Характеристики исследования Frishman 1994	Пол, средний возраст и расовый состав не сообщены («…»); тип анализа — Per-protocol; регистрация НЯ — Passive (spontaneous complaints)	Table, стр. 6 PDF	таблица	
Riemer, Hypertension 2021	Качество исследования Frishman 1994	Оценка качества 3 = ВЫСОКИЙ РИСК СМЕЩЕНИЯ (по сноске ‡)	Table + сноска ‡, стр. 6–7 PDF (журн. 1544–1545)	таблица	
Riemer, Hypertension 2021	Эффект по бисопрололу	Отдельного OR / 95% ДИ / p для бисопролола в файле НЕТ; данные Frishman 1994 видны только на лес-плоте	Figure 2, стр. 8 PDF	рисунок	ТРЕБУЕТ ВИЗУАЛЬНОЙ ПРОВЕРКИ (Figure 2, стр. 8) — числа не извлекались по правилу
Riemer, Hypertension 2021	Упоминание чужих данных	«even found possible protective effects of propranolol, atenolol, bisoprolol, and carvedilol» — пересказ Kessing 2020 (ссылка 25), НЕ результат этого мета-анализа	Discussion, стр. 5 PDF (журн. 1543)	осн. текст	Вторичное цитирование, цифр нет
Riemer, Hypertension 2021	Липофильность / субанализы	Бисопролол НЕ упоминается в контексте липофильности, ISA, субгрупповых анализов или препарат-специфичных оценок	сплошной поиск по всему файлу	—	НЕ НАЙДЕНО В ФАЙЛЕ
BETAMI-DANBLOCK, Eur Heart J 2026	Упоминание	Единственное упоминание — пример препарата в самоотчётном вопросе о приверженности: «‘Are you using medications of the beta-blocker type (e.g. Selo-zok, Emconcor, Metoprolol, Carvedilol, Atenolol, Tenormin, Bisoprolol, Uniloc)’»	Appendix «Self-reported screening questions concerning adherence», стр. 10	осн. текст	
BETAMI-DANBLOCK, Eur Heart J 2026	Доля в выборке	Доля бисопролола в выборке не приведена; в Table 1 указан только метопролол — 2 262 (95,6%)	Table 1 Continued, стр. 6	таблица	НЕ НАЙДЕНО В ФАЙЛЕ
BETAMI-DANBLOCK, Eur Heart J 2026	Подгрупповой анализ	Бисопролол не выделен в отдельную подгруппу; подгрупповые анализы по препаратам ограничены дозами метопролола	Methods, стр. 4; подпись к Figure 3, стр. 8	осн. текст	НЕ НАЙДЕНО В ФАЙЛЕ
Kessing, Hypertension 2020	Экспозиция и размер группы	Включён как отдельный препарат, ATC C07AB07; экспонированы n = 4 117	Table 1, стр. 4	таблица	
Kessing, Hypertension 2020	Демография группы	Медиана возраста на дату первого рецепта — «58 (84–77)» (квантили в источнике напечатаны противоречиво); доля женщин 58%	Table 1, стр. 4	таблица	Дефект публикации: нижний квантиль больше верхнего (см. gaps.md)
Kessing, Hypertension 2020	Тренд-тест, исход «диагноз депрессии», partially adjusted	HR 0.87 (0.82–0.92), P<0.001*	Table 5, стр. 12	таблица (визуально подтверждено)	
Kessing, Hypertension 2020	Тренд-тест, исход «диагноз депрессии», fully adjusted	HR 0.86 (0.81–0.91), P<0.001*	Table 5, стр. 12	таблица (визуально подтверждено)	
Kessing, Hypertension 2020	Тренд-тест, исход «диагноз или антидепрессант», partially adjusted	HR 0.90 (0.87–0.94), P<0.001*	Table 5, стр. 12	таблица (визуально подтверждено)	
Kessing, Hypertension 2020	Тренд-тест, исход «диагноз или антидепрессант», fully adjusted	HR 0.90 (0.87–0.94), P<0.001*	Table 5, стр. 12	таблица (визуально подтверждено)	
Kessing, Hypertension 2020	Категория «0 рецептов» vs 1–2	0.53 (0.47–0.60) / 0.60 (0.52–0.68) / 0.61 (0.56–0.67) / 0.65 (0.59–0.71)	Table 5, стр. 12	таблица	Авторы трактуют как конфаундирование по показанию
Kessing, Hypertension 2020	Категория «3–5 рецептов» vs 1–2	0.77 (0.61–0.97) / 0.79 (0.63–1.00) / 0.99 (0.85–1.15) / 0.99 (0.85–1.15)	Table 5, стр. 12	таблица	
Kessing, Hypertension 2020	Категория «6–10 рецептов» vs 1–2	0.79 (0.63–1.00) / 0.79 (0.62–1.00) / 0.76 (0.65–0.90) / 0.76 (0.65–0.90)	Table 5, стр. 12	таблица	
Kessing, Hypertension 2020	Категория «>10 рецептов» vs 1–2	0.63 (0.53–0.75) / 0.63 (0.53–0.75) / 0.76 (0.67–0.85) / 0.75 (0.67–0.84)	Table 5, стр. 12	таблица	
Kessing, Hypertension 2020	Положение среди препаратов	Отнесён авторами к 4 β-блокаторам, значимым во всех 4 анализах (с пропранололом, атенололом, карведилолом)	Abstract стр. 1; Results стр. 4; Discussion стр. 5; Conclusions стр. 15	осн. текст	
Kessing, Hypertension 2020	Множественность	Все 4 P-значения бисопролола проходят Бонферрони-порог P<0.003 для β-блокаторов (15 препаратов)	Statistical Analyses, стр. 3; Results, стр. 4	осн. текст	
Kessing, Hypertension 2020	Фармакологическая характеристика	«second generation, selective β-blocker with low lipid solubility»; отнесён к «hydrophilic β-blockers», способным давать центральные эффекты через высвобождение NO и перекиси водорода НЕЗАВИСИМО от прохождения через ГЭБ	Discussion → «Pharmacological Properties of Individual Drugs» → «β-Blockers», стр. 15	осн. текст	Ссылки 35 и 53 (Laurens C et al., Front Neurosci 2019;13:33)
Kessing, Hypertension 2020	Ограничения	Дозы бисопролола, приверженность и показание к назначению в исследовании неизвестны	Limitations, стр. 14	осн. текст	
Kessing, Hypertension 2020	Ограничения	Прямого сравнения бисопролола с другими β-блокаторами не проводилось: «we did not compare rates of depression across drugs but within different prescription periods within each drug»	Limitations, стр. 14	осн. текст	Ключевая оговорка для корректного цитирования
Molero, PLoS Med 2023	Экспозиция	Бисопролол входит в перечень изучавшихся β-блокаторов (ATC C07AB07)	Materials and methods → Medications, стр. 5	осн. текст	
Molero, PLoS Med 2023	Размер группы	16,6% когорты (n = 232 688); 3-е место после метопролола (60,0%, 826 165) и атенолола (24,8%, 347 540); категории не взаимоисключающие	Table 1, стр. 8; Results, стр. 11	таблица	
Molero, PLoS Med 2023	Наличие отдельного анализа	По бисопрололу проведён отдельный within-individual анализ (в отличие от лабеталола и пиндолола, где не хватило событий)	Statistical analyses, стр. 7	осн. текст	
Molero, PLoS Med 2023	Исход: психиатрические госпитализации	Терапия бисопрололом ассоциировалась со сниженным риском психиатрических госпитализаций — СЛОВЕСНО, числовых HR/ДИ/p в основном тексте нет	Results → «…by individual β-blockers», стр. 13	осн. текст	
Molero, PLoS Med 2023	Числовые HR по бисопрололу	HR по всем трём исходам	S2 Fig	супплемент	ТОЛЬКО В СУППЛЕМЕНТЕ — НЕ ПРИЛОЖЕН
Molero, PLoS Med 2023	Число событий по бисопрололу	Число событий	S2 Table	супплемент	ТОЛЬКО В СУППЛЕМЕНТЕ — НЕ ПРИЛОЖЕН
Molero, PLoS Med 2023	Исходы: суицидальное поведение, насильственные преступления	Ассоциации бисопролола с этими исходами словесно не описаны; среди препаратов со сниженным риском насильственных преступлений названы только атенолол и метопролол	Results, стр. 13	осн. текст	
Molero, PLoS Med 2023	Липофильность / селективность	Отнесение бисопролола к категории селективности и растворимости в основном тексте отсутствует; распределение препаратов — в S1 Text, page 2	отсылка на стр. 7	супплемент	ТОЛЬКО В СУППЛЕМЕНТЕ — НЕ ПРИЛОЖЕН
